number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
604	Бабаевский С.П.	Кавалер золотой звезды	NA	1948	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Рабинович М.Б.	Воспоминания долгой жизни	Санкт-Петербург	1996	1996	1949	1949	Ленинград, Кресты	Историк	asfcd/auth/?t=page&num=1384
950	Бабаян В.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Козюра В.В.	Путешествие с образовательной целью	Харьков	2004	2004	1964	1971	Мордовские лагеря	Филолог, поэт	asfcd/auth/?t=page&num=11594
2220	Бабель И.Э.	NA	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Войтоловская А.Л.	По следам судьбы моего поколения	Сыктывкар	1991	1991	1937	1938	Коми, Ухтпечлаг	NA	asfcd/auth/?t=book&num=862
1109	Багрицкий Э.Г.	Дума про Опанаса	NA	1926	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Булгаков В.А.	Письма из юности	Москва	2005	2005	1955	1956	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=book&num=725
1702	Багрицкий Э.Г.	NA	NA	NA	Цитируют	стихи	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Яроцкий А.С.	Золотая Колыма	Железнодорожный	2003	2003	1939	1939	Магадан, Севвостлаг, участок Дарьял	Инженер, ученый-экономист	asfcd/auth/?t=page&num=11286
539	Багрицкий Э.Г.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Войтоловская А.Л.	По следам судьбы моего поколения	Сыктывкар	1991	1991	1938	1939	Коми, Кочмес	NA	asfcd/auth/?t=book&num=862
2223	Багрицкий Э.Г.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Войтоловская А.Л.	По следам судьбы моего поколения	Сыктывкар	1991	1991	1937	1938	Коми, Ухтпечлаг	NA	asfcd/auth/?t=book&num=862
841	Багрицкий Э.Г.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Копелев Л.	Панин Д.М.	Лубянка - Экибастуз: Лагерные записки	Москва	1990	1990	1947	1950	Московская обл., Марфинская шарашка	Литературовед	asfcd/auth/?t=book&num=479
83	Байрон Дж. Г.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Святополк-Мирский Д.С.	Лазарев В.М.	1937 год глазами очевидца	Москва	2001	2001	1937	1937	Владивосток, Владивостокский транзитный лагерь	Литературовед	asfcd/auth/?t=page&num=11012
663	Байрон Дж.Г.	Шильонский узник	NA	1816	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1951	1951	Москва, Лефортовская тюрьма	Правозащитница	asfcd/auth/?t=page&num=11879
726	Байрон Дж.Г.	NA	NA	NA	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Ситко Л.К.	Дубровлаг при Хрущеве	Москва	1997	1997	1959	1959	Москва, Лубянская тюрьма	Поэт, переводчик	asfcd/auth/?t=page&num=1955
